ID,Strain,Sex,EXP,Weight Days,Weight Scheme,Max Weight Loss,Max Weight Gain,Average Weight Change
3856,CC046,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-37.5,9.375,-7.330827068
3857,CC046,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-25,10.22727273,-0.432900433
3858,CC046,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-22.1719457,11.76470588,-2.822667529
3859,CC046,M,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-17.90393013,5.676855895,-3.930131004
3478,CC051,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-16.10169492,3.813559322,-4.802259887
3479,CC051,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-8.490566038,16.03773585,3.661275831
3480,CC051,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-6.194690265,7.522123894,0.779603877
3481,CC051,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-13.39712919,12.44019139,0.797448166
3482,CC051,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-4.147465438,11.52073733,3.159973667
3483,CC051,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-26.64473684,0,-11.96741855
3484,CC051,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-13.65187713,4.778156997,-4.046806436
3485,CC051,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-48.09688581,0,-23.96193772
3486,CC051,M,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-24.82014388,0,-10.51730045
